"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"e-bebek.com'da ürün arama ve sonuç doğrulama","42907","Sonuç dönmeyen arama","","2026-07-15","broken","2026-07-15","","","",""
"Misafir olarak sepete eklenen ürünlerin giriş sonrası korunması","42743","Misafir sepeti giriş sonrası korunur","","2026-07-15","broken","2026-07-15","","","",""
"Giriş yapmış kullanıcının çıkış yapması ve oturumun sonlanması","7041","Başarılı çıkış ve oturum sonlanma doğrulaması","","2026-07-15","broken","2026-07-15","","","",""
"e-bebek.com'da ürün arama ve sonuç doğrulama","42608","Sonuç dönen arama","","2026-07-15","broken","2026-07-15","","","",""
"Geçersiz bilgilerle giriş denemelerinde uygun hata mesajlarının gösterilmesi","6895","Geçersiz bilgilerle giriş başarısız olur","","2026-07-15","broken","2026-07-15","","","",""
"Geçersiz bilgilerle giriş denemelerinde uygun hata mesajlarının gösterilmesi","6951","Geçersiz bilgilerle giriş başarısız olur","","2026-07-15","broken","2026-07-15","","","",""
"Geçersiz bilgilerle giriş denemelerinde uygun hata mesajlarının gösterilmesi","6943","Geçersiz bilgilerle giriş başarısız olur","","2026-07-15","broken","2026-07-15","","","",""
"Sepete ürün ekleme, adet değiştirme, silme ve toplam doğrulama","44565","Sepete iki ürün ekle, adedini değiştir, birini sil, toplamı doğrula","","2026-07-15","broken","2026-07-15","","","",""
"e-bebek.com'da geçerli telefon ve şifre ile giriş yapılması","7174","Geçerli telefon ve şifre ile başarılı giriş","","2026-07-15","broken","2026-07-15","","","",""
